Report Date,Summary Indicator,Summary Indicator Value
12/11/2020,Number of Outbreak Associated Cases,"36,698"
12/11/2020,Number of PCR Testing Encounters,"3,634,492"
12/11/2020,Current 7-Day Percent Positivity,10.8%
12/11/2020,MIS-C Cases,12
12/11/2020,MIS-C Deaths,0
12/12/2020,Total Cases,"278,615"
12/12/2020,New Cases,"4,177"
12/12/2020,Confirmed Cases,"241,397"
12/12/2020,Probable Cases,"37,218"
12/12/2020,Total Hospitalizations,"15,967"
12/12/2020,Confirmed Hospitalizations,"15,552"
12/12/2020,Probable Hospitalizations,415
12/12/2020,Total Deaths,"4,409"
12/12/2020,Confirmed Deaths,"4,005"
12/12/2020,Probable Deaths,404
12/12/2020,Number of Outbreaks,"1,668"
12/12/2020,Number of Outbreak Associated Cases,"36,942"
12/12/2020,Number of PCR Testing Encounters,"3,670,781"
12/12/2020,Current 7-Day Percent Positivity,10.9%
12/12/2020,MIS-C Cases,12
12/12/2020,MIS-C Deaths,0
12/15/2020,Total Cases,"288,309"
12/15/2020,New Cases,"3,160"
12/15/2020,Confirmed Cases,"249,040"
12/15/2020,Probable Cases,"39,269"
12/15/2020,Total Hospitalizations,"16,187"
12/15/2020,Confirmed Hospitalizations,"15,754"
12/15/2020,Probable Hospitalizations,433
12/15/2020,Total Deaths,"4,470"
12/15/2020,Confirmed Deaths,"4,058"
12/15/2020,Probable Deaths,412
12/15/2020,Number of Outbreaks,"1,691"
12/15/2020,Number of PCR Testing Encounters,"3,754,756"
12/15/2020,Number of Outbreak Associated Cases,"37,686"
12/15/2020,Current 7-Day Percent Positivity,11.1%
12/15/2020,MIS-C Cases,12
12/15/2020,MIS-C Deaths,0
12/16/2020,Total Cases,"292,240"
12/16/2020,New Cases,"3,931"
12/16/2020,Confirmed Cases,"251,894"
12/16/2020,Probable Cases,"40,346"
12/16/2020,Total Hospitalizations,"16,353"
12/16/2020,Confirmed Hospitalizations,"15,907"
12/16/2020,Probable Hospitalizations,446
12/16/2020,Total Deaths,"4,508"
12/16/2020,Confirmed Deaths,"4,090"
12/16/2020,Probable Deaths,418
12/16/2020,Number of Outbreaks,"1,704"
12/16/2020,Number of Outbreak Associated Cases,"38,263"
12/16/2020,Number of PCR Testing Encounters,"3,780,026"
12/16/2020,Current 7-Day Percent Positivity,11.4%
12/16/2020,MIS-C Cases,12
12/16/2020,MIS-C Deaths,0
12/16/2020,Total Cases,"292,240"
12/16/2020,New Cases,"3,931"
12/16/2020,Confirmed Cases,"251,894"
12/16/2020,Probable Cases,"40,346"
12/16/2020,Total Hospitalizations,"16,353"
12/16/2020,Confirmed Hospitalizations,"15,907"
12/16/2020,Probable Hospitalizations,446
12/16/2020,Total Deaths,"4,508"
12/16/2020,Confirmed Deaths,"4,090"
12/16/2020,Probable Deaths,418
12/16/2020,Number of Outbreaks,"1,704"
12/16/2020,Number of Outbreak Associated Cases,"38,263"
12/16/2020,Number of PCR Testing Encounters,"3,780,026"
12/16/2020,Current 7-Day Percent Positivity,11.4%
12/16/2020,MIS-C Cases,12
12/16/2020,MIS-C Deaths,0
12/18/2020,Total Cases,"299,388"
12/18/2020,New Cases,"3,295"
12/18/2020,Confirmed Cases,"256,999"
12/18/2020,Probable Cases,"42,389"
12/18/2020,Total Hospitalizations,"16,684"
12/18/2020,Confirmed Hospitalizations,"16,202"
12/18/2020,Probable Hospitalizations,482
12/18/2020,Total Deaths,"4,598"
12/18/2020,Confirmed Deaths,"4,164"
12/18/2020,Probable Deaths,434
12/18/2020,Number of Outbreaks,"1,770"
12/18/2020,Number of Outbreak Associated Cases,"40,269"
12/18/2020,Number of PCR Testing Encounters,"3,831,683"
12/18/2020,Current 7-Day Percent Positivity,11.8%
12/18/2020,MIS-C Cases,12
12/18/2020,MIS-C Deaths,0
12/19/2020,Total Cases,"302,972"
12/19/2020,New Cases,"3,584"
12/19/2020,Confirmed Cases,"259,635"
12/19/2020,Probable Cases,"43,337"
12/19/2020,Total Hospitalizations,"16,824"
12/19/2020,Confirmed Hospitalizations,"16,325"
12/19/2020,Probable Hospitalizations,499
12/19/2020,Total Deaths,"4,643"
12/19/2020,Confirmed Deaths,"4,184"
12/19/2020,Probable Deaths,459
12/19/2020,Number of Outbreaks,"1,790"
12/19/2020,Number of Outbreak Associated Cases,"41,006"
12/19/2020,Number of PCR Testing Encounters,"3,888,669"
12/19/2020,Current 7-Day Percent Positivity,11.4%
12/19/2020,MIS-C Cases,12
12/19/2020,MIS-C Deaths,0
12/20/2020,Total Cases,"306,848"
12/20/2020,New Cases,"3,876"
12/20/2020,Confirmed Cases,"262,589"
12/20/2020,Probable Cases,"44,259"
12/20/2020,Total Hospitalizations,"16,878"
12/20/2020,Confirmed Hospitalizations,"16,377"
12/20/2020,Probable Hospitalizations,501
12/20/2020,Total Deaths,"4,650"
12/20/2020,Confirmed Deaths,"4,189"
12/20/2020,Probable Deaths,461
12/20/2020,Number of Outbreaks,"1,810"
12/20/2020,Number of Outbreak Associated Cases,"41,291"
12/20/2020,Number of PCR Testing Encounters,"3,937,968"
12/20/2020,Current 7-Day Percent Positivity,11.3%
12/20/2020,MIS-C Cases,12
12/20/2020,MIS-C Deaths,0
12/21/2020,Total Cases,"310,890"
12/21/2020,New Cases,"4,042"
12/21/2020,Confirmed Cases,"265,785"
12/21/2020,Probable Cases,"45,105"
12/21/2020,Total Hospitalizations,"16,948"
12/21/2020,Confirmed Hospitalizations,"16,442"
12/21/2020,Probable Hospitalizations,506
12/21/2020,Total Deaths,"4,654"
12/21/2020,Confirmed Deaths,"4,192"
12/21/2020,Probable Deaths,462
12/21/2020,Number of Outbreaks,"1,812"
12/21/2020,Number of Outbreak Associated Cases,"41,393"
12/21/2020,Number of PCR Testing Encounters,"3,975,016"
12/21/2020,Current 7-Day Percent Positivity,11.5%
12/21/2020,MIS-C Cases,12
12/21/2020,MIS-C Deaths,0
12/22/2020,Total Cases,"314,481"
12/22/2020,New Cases,"3,591"
12/22/2020,Confirmed Cases,"268,472"
12/22/2020,Probable Cases,"46,009"
12/22/2020,Total Hospitalizations,"17,083"
12/22/2020,Confirmed Hospitalizations,"16,563"
12/22/2020,Probable Hospitalizations,520
12/22/2020,Total Deaths,"4,705"
12/22/2020,Confirmed Deaths,"4,221"
12/22/2020,Probable Deaths,484
12/22/2020,Number of Outbreaks,"1,836"
12/22/2020,Number of PCR Testing Encounters,"3,993,232"
12/22/2020,Number of Outbreak Associated Cases,"41,727"
12/22/2020,Current 7-Day Percent Positivity,11.4%
12/22/2020,MIS-C Cases,12
12/22/2020,MIS-C Deaths,0
12/23/2020,Total Cases,"17,271"
12/23/2020,New Cases,0
12/23/2020,Confirmed Cases,"271,811"
12/23/2020,Probable Cases,"47,322"
12/23/2020,Total Hospitalizations,"4,760"
12/23/2020,Confirmed Hospitalizations,"16,730"
12/23/2020,Probable Hospitalizations,541
12/23/2020,Total Deaths,"319,133"
12/23/2020,Confirmed Deaths,"4,251"
12/23/2020,Probable Deaths,509
12/23/2020,Number of Outbreaks,"1,864"
12/23/2020,Number of Outbreak Associated Cases,"42,085"
12/23/2020,Number of PCR Testing Encounters,"4,029,903"
12/23/2020,Current 7-Day Percent Positivity,11.4%
12/23/2020,MIS-C Cases,13
12/23/2020,MIS-C Deaths,0
12/24/2020,Total Cases,"323,915"
12/24/2020,New Cases,"4,782"
12/24/2020,Confirmed Cases,"275,235"
12/24/2020,Probable Cases,"48,680"
12/24/2020,Total Hospitalizations,"17,389"
12/24/2020,Confirmed Hospitalizations,"16,844"
12/24/2020,Probable Hospitalizations,545
12/24/2020,Total Deaths,"4,791"
12/24/2020,Confirmed Deaths,"4,263"
12/24/2020,Probable Deaths,528
12/24/2020,Number of Outbreaks,"1,884"
12/24/2020,Number of PCR Testing Encounters,"4,070,000"
12/24/2020,Number of Outbreak Associated Cases,"42,921"
12/24/2020,Current 7-Day Percent Positivity,11.5%
12/24/2020,MIS-C Cases,13
12/24/2020,MIS-C Deaths,0
12/25/2020,Total Cases,"327,993"
12/25/2020,New Cases,"4,078"
12/25/2020,Confirmed Cases,"278,048"
12/25/2020,Probable Cases,"49,945"
12/25/2020,Total Hospitalizations,"17,450"
12/25/2020,Confirmed Hospitalizations,"16,904"
12/25/2020,Probable Hospitalizations,546
12/25/2020,Total Deaths,"4,820"
12/25/2020,Confirmed Deaths,"4,268"
12/25/2020,Probable Deaths,552
12/25/2020,Number of Outbreaks,"1,887"
12/25/2020,Number of Outbreak Associated Cases,"43,042"
12/25/2020,Number of PCR Testing Encounters,"4,102,375"
12/25/2020,Current 7-Day Percent Positivity,11.9%
12/25/2020,MIS-C Cases,13
12/25/2020,MIS-C Deaths,0
12/26/2020,Total Cases,"329,577"
12/26/2020,New Cases,"1,584"
12/26/2020,Confirmed Cases,"279,153"
12/26/2020,Probable Cases,"50,424"
12/26/2020,Total Hospitalizations,"17,464"
12/26/2020,Confirmed Hospitalizations,"16,916"
12/26/2020,Probable Hospitalizations,548
12/26/2020,Total Deaths,"4,840"
12/26/2020,Confirmed Deaths,"4,272"
12/26/2020,Probable Deaths,568
12/26/2020,Number of Outbreaks,"1,887"
12/26/2020,Number of Outbreak Associated Cases,"43,079"
12/26/2020,Number of PCR Testing Encounters,"4,128,799"
12/26/2020,Current 7-Day Percent Positivity,12.1%
12/26/2020,MIS-C Cases,13
12/26/2020,MIS-C Deaths,0
12/27/2020,Total Cases,"333,576"
12/27/2020,New Cases,"3,999"
12/27/2020,Confirmed Cases,"282,407"
12/27/2020,Probable Cases,"51,169"
12/27/2020,Total Hospitalizations,"17,548"
12/27/2020,Confirmed Hospitalizations,"16,986"
12/27/2020,Probable Hospitalizations,562
12/27/2020,Total Deaths,"4,854"
12/27/2020,Confirmed Deaths,"4,285"
12/27/2020,Probable Deaths,569
12/27/2020,Number of Outbreaks,"1,888"
12/27/2020,Number of PCR Testing Encounters,"4,149,987"
12/27/2020,Number of Outbreak Associated Cases,"43,201"
12/27/2020,Current 7-Day Percent Positivity,12.1%
12/27/2020,MIS-C Cases,13
12/27/2020,MIS-C Deaths,0
12/28/2020,Total Cases,"336,175"
12/28/2020,New Cases,"2,599"
12/28/2020,Confirmed Cases,"284,344"
12/28/2020,Probable Cases,"51,831"
12/28/2020,Total Hospitalizations,"17,605"
12/28/2020,Confirmed Hospitalizations,"17,034"
12/28/2020,Probable Hospitalizations,571
12/28/2020,Total Deaths,"4,861"
12/28/2020,Confirmed Deaths,"4,288"
12/28/2020,Probable Deaths,573
12/28/2020,Number of Outbreaks,"1,888"
12/28/2020,Number of Outbreak Associated Cases,"43,299"
12/28/2020,Number of PCR Testing Encounters,"4,168,673"
12/28/2020,Current 7-Day Percent Positivity,12.3%
12/28/2020,MIS-C Cases,13
12/28/2020,MIS-C Deaths,0
12/29/2020,Total Cases,"340,297"
12/29/2020,New Cases,"4,122"
12/29/2020,Confirmed Cases,"287,216"
12/29/2020,Probable Cases,"53,081"
12/29/2020,Total Hospitalizations,"17,782"
12/29/2020,Confirmed Hospitalizations,"17,200"
12/29/2020,Probable Hospitalizations,582
12/29/2020,Total Deaths,"4,920"
12/29/2020,Confirmed Deaths,"4,340"
12/29/2020,Probable Deaths,580
12/29/2020,Number of Outbreaks,"1,902"
12/29/2020,Number of PCR Testing Encounters,"4,191,183"
12/29/2020,Number of Outbreak Associated Cases,"43,683"
12/29/2020,Current 7-Day Percent Positivity,12.1%
12/29/2020,MIS-C Cases,13
12/29/2020,MIS-C Deaths,0
12/30/2020,Total Cases,"344,345"
12/30/2020,New Cases,"4,048"
12/30/2020,Confirmed Cases,"289,732"
12/30/2020,Probable Cases,"54,613"
12/30/2020,Total Hospitalizations,"17,910"
12/30/2020,Confirmed Hospitalizations,"17,309"
12/30/2020,Probable Hospitalizations,601
12/30/2020,Total Deaths,"4,984"
12/30/2020,Confirmed Deaths,"4,394"
12/30/2020,Probable Deaths,590
12/30/2020,Number of Outbreaks,"1,915"
12/30/2020,Number of Outbreak Associated Cases,"44,167"
12/30/2020,Number of PCR Testing Encounters,"4,220,943"
12/30/2020,Current 7-Day Percent Positivity,12.6%
12/30/2020,MIS-C Cases,13
12/30/2020,MIS-C Deaths,0
12/31/2020,Total Cases,"349,584"
12/31/2020,New Cases,"5,239"
12/31/2020,Confirmed Cases,"293,446"
12/31/2020,Probable Cases,"56,138"
12/31/2020,Total Hospitalizations,"18,041"
12/31/2020,Confirmed Hospitalizations,"17,436"
12/31/2020,Probable Hospitalizations,605
12/31/2020,Total Deaths,"5,032"
12/31/2020,Confirmed Deaths,"4,437"
12/31/2020,Probable Deaths,595
12/31/2020,Number of Outbreaks,"1,950"
12/31/2020,Number of Outbreak Associated Cases,"44,979"
12/31/2020,Number of PCR Testing Encounters,"4,255,991"
12/31/2020,Current 7-Day Percent Positivity,13.1%
12/31/2020,MIS-C Cases,13
12/31/2020,MIS-C Deaths,0
01/01/2021,Total Cases,"354,766"
01/01/2021,New Cases,"5,182"
01/01/2021,Confirmed Cases,"297,053"
01/01/2021,Probable Cases,"57,713"
01/01/2021,Total Hospitalizations,"18,166"
01/01/2021,Confirmed Hospitalizations,"17,545"
01/01/2021,Probable Hospitalizations,621
01/01/2021,Total Deaths,"5,081"
01/01/2021,Confirmed Deaths,"4,478"
01/01/2021,Probable Deaths,603
01/01/2021,Number of Outbreaks,"1,968"
01/01/2021,Number of Outbreak Associated Cases,"45,252"
01/01/2021,Number of PCR Testing Encounters,"4,291,320"
01/01/2021,Current 7-Day Percent Positivity,14.3%
01/01/2021,MIS-C Cases,13
01/01/2021,MIS-C Deaths,0
01/02/2021,Total Cases,"358,755"
01/02/2021,New Cases,"3,989"
01/02/2021,Confirmed Cases,"299,963"
01/02/2021,Probable Cases,"58,792"
01/02/2021,Total Hospitalizations,"18,240"
01/02/2021,Confirmed Hospitalizations,"17,614"
01/02/2021,Probable Hospitalizations,626
01/02/2021,Total Deaths,"5,117"
01/02/2021,Confirmed Deaths,"4,509"
01/02/2021,Probable Deaths,608
01/02/2021,Number of Outbreaks,"1,973"
01/02/2021,Number of Outbreak Associated Cases,"45,376"
01/02/2021,Number of PCR Testing Encounters,"4,337,939"
01/02/2021,Current 7-Day Percent Positivity,15.1%
01/02/2021,MIS-C Cases,13
01/02/2021,MIS-C Deaths,0
01/03/2021,Total Cases,"363,765"
01/03/2021,New Cases,"5,010"
01/03/2021,Confirmed Cases,"303,881"
01/03/2021,Probable Cases,"59,884"
01/03/2021,Total Hospitalizations,"18,310"
01/03/2021,Confirmed Hospitalizations,"17,680"
01/03/2021,Probable Hospitalizations,630
01/03/2021,Total Deaths,"5,124"
01/03/2021,Confirmed Deaths,"4,516"
01/03/2021,Probable Deaths,608
01/03/2021,Number of Outbreaks,"1,973"
01/03/2021,Number of PCR Testing Encounters,"4,365,480"
01/03/2021,Number of Outbreak Associated Cases,"45,474"
01/03/2021,Current 7-Day Percent Positivity,15.5%
01/03/2021,MIS-C Cases,13
01/03/2021,MIS-C Deaths,0
01/04/2021,Total Cases,"367,536"
01/04/2021,New Cases,"3,771"
01/04/2021,Confirmed Cases,"306,617"
01/04/2021,Probable Cases,"60,919"
01/04/2021,Total Hospitalizations,"18,387"
01/04/2021,Confirmed Hospitalizations,"17,751"
01/04/2021,Probable Hospitalizations,636
01/04/2021,Total Deaths,"5,132"
01/04/2021,Confirmed Deaths,"4,522"
01/04/2021,Probable Deaths,610
01/04/2021,Number of Outbreaks,"1,973"
01/04/2021,Number of Outbreak Associated Cases,"45,763"
01/04/2021,Number of PCR Testing Encounters,"4,383,477"
01/04/2021,Current 7-Day Percent Positivity,16%
01/04/2021,MIS-C Cases,13
01/04/2021,MIS-C Deaths,0
01/05/2021,Total Cases,"371,913"
01/05/2021,New Cases,"4,377"
01/05/2021,Confirmed Cases,"309,659"
01/05/2021,Probable Cases,"62,254"
01/05/2021,Total Hospitalizations,"18,526"
01/05/2021,Confirmed Hospitalizations,"17,882"
01/05/2021,Probable Hospitalizations,644
01/05/2021,Total Deaths,"5,191"
01/05/2021,Confirmed Deaths,"4,572"
01/05/2021,Probable Deaths,619
01/05/2021,Number of Outbreaks,"1,930"
01/05/2021,Number of Outbreak Associated Cases,"45,992"
01/05/2021,Number of PCR Testing Encounters,"4,404,641"
01/05/2021,Current 7-Day Percent Positivity,16.3%
01/05/2021,MIS-C Cases,13
01/05/2021,MIS-C Deaths,0
01/06/2021,Total Cases,"377,300"
01/06/2021,New Cases,"5,387"
01/06/2021,Confirmed Cases,"313,349"
01/06/2021,Probable Cases,"63,951"
01/06/2021,Total Hospitalizations,"18,636"
01/06/2021,Confirmed Hospitalizations,"17,983"
01/06/2021,Probable Hospitalizations,653
01/06/2021,Total Deaths,"5,226"
01/06/2021,Confirmed Deaths,"4,604"
01/06/2021,Probable Deaths,622
01/06/2021,Number of Outbreaks,"1,941"
01/06/2021,Number of Outbreak Associated Cases,"46,254"
01/06/2021,Number of PCR Testing Encounters,"4,428,211"
01/06/2021,Current 7-Day Percent Positivity,16.6%
01/06/2021,MIS-C Cases,13
01/06/2021,MIS-C Deaths,0
01/07/2021,Total Cases,"382,679"
01/07/2021,New Cases,"5,379"
01/07/2021,Confirmed Cases,"317,123"
01/07/2021,Probable Cases,"65,556"
01/07/2021,Total Hospitalizations,"18,790"
01/07/2021,Confirmed Hospitalizations,"18,122"
01/07/2021,Probable Hospitalizations,668
01/07/2021,Total Deaths,"5,275"
01/07/2021,Confirmed Deaths,"4,646"
01/07/2021,Probable Deaths,629
01/07/2021,Number of Outbreaks,"1,951"
01/07/2021,Number of Outbreak Associated Cases,"47,122"
01/07/2021,Number of PCR Testing Encounters,"4,463,768"
01/07/2021,Current 7-Day Percent Positivity,16.8%
01/07/2021,MIS-C Cases,13
01/07/2021,MIS-C Deaths,0
01/08/2021,Total Cases,"387,917"
01/08/2021,New Cases,"5,238"
01/08/2021,Confirmed Cases,"321,172"
01/08/2021,Probable Cases,"66,745"
01/08/2021,Total Hospitalizations,"18,918"
01/08/2021,Confirmed Hospitalizations,"18,234"
01/08/2021,Probable Hospitalizations,684
01/08/2021,Total Deaths,"5,312"
01/08/2021,Confirmed Deaths,"4,681"
01/08/2021,Probable Deaths,631
01/08/2021,Number of Outbreaks,"1,978"
01/08/2021,Number of Outbreak Associated Cases,"47,776"
01/08/2021,Number of PCR Testing Encounters,"4,500,002"
01/08/2021,Current 7-Day Percent Positivity,16.6%
01/08/2021,MIS-C Cases,13
01/08/2021,MIS-C Deaths,0
01/09/2021,Total Cases,"393,715"
01/09/2021,New Cases,"5,798"
01/09/2021,Confirmed Cases,"325,517"
01/09/2021,Probable Cases,"68,198"
01/09/2021,Total Hospitalizations,"19,025"
01/09/2021,Confirmed Hospitalizations,"18,327"
01/09/2021,Probable Hospitalizations,698
01/09/2021,Total Deaths,"5,381"
01/09/2021,Confirmed Deaths,"4,748"
01/09/2021,Probable Deaths,633
01/09/2021,Number of Outbreaks,0
01/09/2021,Number of PCR Testing Encounters,"4,537,960"
01/09/2021,Number of Outbreak Associated Cases,"48,346"
01/09/2021,Current 7-Day Percent Positivity,16.5%
01/09/2021,MIS-C Cases,13
01/09/2021,MIS-C Deaths,0
01/10/2021,Total Cases,"398,856"
01/10/2021,New Cases,"5,141"
01/10/2021,Confirmed Cases,"329,185"
01/10/2021,Probable Cases,"69,671"
01/10/2021,Total Hospitalizations,"19,095"
01/10/2021,Confirmed Hospitalizations,"18,396"
01/10/2021,Probable Hospitalizations,699
01/10/2021,Total Deaths,"5,383"
01/10/2021,Confirmed Deaths,"4,749"
01/10/2021,Probable Deaths,634
01/10/2021,Number of Outbreaks,"2,004"
01/10/2021,Number of Outbreak Associated Cases,"48,467"
01/10/2021,Number of PCR Testing Encounters,"4,588,152"
01/10/2021,Current 7-Day Percent Positivity,16.5%
01/10/2021,MIS-C Cases,13
01/10/2021,MIS-C Deaths,0
01/11/2021,Total Cases,"403,386"
01/11/2021,New Cases,"4,530"
01/11/2021,Confirmed Cases,"332,730"
01/11/2021,Probable Cases,"70,656"
01/11/2021,Total Hospitalizations,"19,182"
01/11/2021,Confirmed Hospitalizations,"18,478"
01/11/2021,Probable Hospitalizations,704
01/11/2021,Total Deaths,"5,393"
01/11/2021,Confirmed Deaths,"4,758"
01/11/2021,Probable Deaths,635
01/11/2021,Number of Outbreaks,"2,006"
01/11/2021,Number of Outbreak Associated Cases,"48,517"
01/11/2021,Number of PCR Testing Encounters,"4,621,140"
01/11/2021,Current 7-Day Percent Positivity,16.1%
01/11/2021,MIS-C Cases,13
01/11/2021,MIS-C Deaths,0
01/12/2021,Total Cases,"407,947"
01/12/2021,New Cases,"4,561"
01/12/2021,Confirmed Cases,"336,203"
01/12/2021,Probable Cases,"71,744"
01/12/2021,Total Hospitalizations,"19,326"
01/12/2021,Confirmed Hospitalizations,"18,605"
01/12/2021,Probable Hospitalizations,721
01/12/2021,Total Deaths,"5,477"
01/12/2021,Confirmed Deaths,"4,833"
01/12/2021,Probable Deaths,644
01/12/2021,Number of Outbreaks,"2,025"
01/12/2021,Number of Outbreak Associated Cases,"49,027"
01/12/2021,Number of PCR Testing Encounters,"4,640,967"
01/12/2021,Current 7-Day Percent Positivity,16.3%
01/12/2021,MIS-C Cases,13
01/12/2021,MIS-C Deaths,0
01/13/2021,Total Cases,"412,545"
01/13/2021,New Cases,"4,598"
01/13/2021,Confirmed Cases,"339,468"
01/13/2021,Probable Cases,"73,077"
01/13/2021,Total Hospitalizations,"19,470"
01/13/2021,Confirmed Hospitalizations,"18,740"
01/13/2021,Probable Hospitalizations,730
01/13/2021,Total Deaths,"5,552"
01/13/2021,Confirmed Deaths,"4,892"
01/13/2021,Probable Deaths,660
01/13/2021,Number of Outbreaks,"2,035"
01/13/2021,Number of Outbreak Associated Cases,"49,621"
01/13/2021,Number of PCR Testing Encounters,"4,674,630"
01/13/2021,Current 7-Day Percent Positivity,15.9%
01/13/2021,MIS-C Cases,13
01/13/2021,MIS-C Deaths,0
01/14/2021,Total Cases,"417,839"
01/14/2021,New Cases,"5,294"
01/14/2021,Confirmed Cases,"343,304"
01/14/2021,Probable Cases,"74,535"
01/14/2021,Total Hospitalizations,"19,595"
01/14/2021,Confirmed Hospitalizations,"18,855"
01/14/2021,Probable Hospitalizations,740
01/14/2021,Total Deaths,"5,626"
01/14/2021,Confirmed Deaths,"4,952"
01/14/2021,Probable Deaths,674
01/14/2021,Number of Outbreaks,"2,053"
01/14/2021,Number of Outbreak Associated Cases,"50,045"
01/14/2021,Number of PCR Testing Encounters,"4,706,714"
01/14/2021,Current 7-Day Percent Positivity,15.5%
01/14/2021,MIS-C Cases,13
01/14/2021,MIS-C Deaths,0
01/15/2021,Total Cases,"422,634"
01/15/2021,New Cases,"4,795"
01/15/2021,Confirmed Cases,"346,917"
01/15/2021,Probable Cases,"75,717"
01/15/2021,Total Hospitalizations,"19,741"
01/15/2021,Confirmed Hospitalizations,"18,984"
01/15/2021,Probable Hospitalizations,757
01/15/2021,Total Deaths,"5,656"
01/15/2021,Confirmed Deaths,"4,982"
01/15/2021,Probable Deaths,674
01/15/2021,Number of Outbreaks,"2,074"
01/15/2021,Number of Outbreak Associated Cases,"50,551"
01/15/2021,Number of PCR Testing Encounters,"4,730,680"
01/15/2021,Current 7-Day Percent Positivity,15.1%
01/15/2021,MIS-C Cases,13
01/15/2021,MIS-C Deaths,0
01/16/2021,Total Cases,"429,391"
01/16/2021,New Cases,"6,757"
01/16/2021,Confirmed Cases,"351,970"
01/16/2021,Probable Cases,"77,421"
01/16/2021,Total Hospitalizations,"19,846"
01/16/2021,Confirmed Hospitalizations,"19,069"
01/16/2021,Probable Hospitalizations,777
01/16/2021,Total Deaths,"5,706"
01/16/2021,Confirmed Deaths,"5,016"
01/16/2021,Probable Deaths,690
01/16/2021,Number of Outbreaks,"2,082"
01/16/2021,Number of Outbreak Associated Cases,"51,590"
01/16/2021,Number of PCR Testing Encounters,"4,764,813"
01/16/2021,Current 7-Day Percent Positivity,14.6%
01/16/2021,MIS-C Cases,13
01/16/2021,MIS-C Deaths,0
01/17/2021,Total Cases,"439,305"
01/17/2021,New Cases,"9,914"
01/17/2021,Confirmed Cases,"357,345"
01/17/2021,Probable Cases,"81,960"
01/17/2021,Total Hospitalizations,"19,913"
01/17/2021,Confirmed Hospitalizations,"19,132"
01/17/2021,Probable Hospitalizations,781
01/17/2021,Total Deaths,"5,729"
01/17/2021,Confirmed Deaths,"5,037"
01/17/2021,Probable Deaths,692
01/17/2021,Number of Outbreaks,"2,093"
01/17/2021,Number of Outbreak Associated Cases,"51,748"
01/17/2021,Number of PCR Testing Encounters,"4,807,396"
01/17/2021,Current 7-Day Percent Positivity,14.1%
01/17/2021,MIS-C Cases,13
01/17/2021,MIS-C Deaths,0
01/18/2021,Total Cases,"446,550"
01/18/2021,New Cases,"7,245"
01/18/2021,Confirmed Cases,"362,732"
01/18/2021,Probable Cases,"83,818"
01/18/2021,Total Hospitalizations,"19,982"
01/18/2021,Confirmed Hospitalizations,"19,191"
01/18/2021,Probable Hospitalizations,791
01/18/2021,Total Deaths,"5,739"
01/18/2021,Confirmed Deaths,"5,042"
01/18/2021,Probable Deaths,697
01/18/2021,Number of Outbreaks,"2,094"
01/18/2021,Number of PCR Testing Encounters,"4,852,729"
01/18/2021,Number of Outbreak Associated Cases,"51,972"
01/18/2021,Current 7-Day Percent Positivity,14.0%
01/18/2021,MIS-C Cases,13
01/18/2021,MIS-C Deaths,0
01/19/2021,Total Cases,"451,076"
01/19/2021,New Cases,"4,526"
01/19/2021,Confirmed Cases,"366,159"
01/19/2021,Probable Cases,"84,917"
01/19/2021,Total Hospitalizations,"20,066"
01/19/2021,Confirmed Hospitalizations,"19,273"
01/19/2021,Probable Hospitalizations,793
01/19/2021,Total Deaths,"5,798"
01/19/2021,Confirmed Deaths,"5,084"
01/19/2021,Probable Deaths,714
01/19/2021,Number of Outbreaks,"2,109"
01/19/2021,Number of Outbreak Associated Cases,"52,429"
01/19/2021,Number of PCR Testing Encounters,"4,878,157"
01/19/2021,Current 7-Day Percent Positivity,13.6%
01/19/2021,MIS-C Cases,13
01/19/2021,MIS-C Deaths,0
01/20/2021,Total Cases,"455,591"
01/20/2021,New Cases,"4,515"
01/20/2021,Confirmed Cases,"369,056"
01/20/2021,Probable Cases,"86,535"
01/20/2021,Total Hospitalizations,"20,231"
01/20/2021,Confirmed Hospitalizations,"19,423"
01/20/2021,Probable Hospitalizations,808
01/20/2021,Total Deaths,"5,861"
01/20/2021,Confirmed Deaths,"5,137"
01/20/2021,Probable Deaths,724
01/20/2021,Number of Outbreaks,"2,122"
01/20/2021,Number of Outbreak Associated Cases,"52,704"
01/20/2021,Number of PCR Testing Encounters,"4,899,081"
01/20/2021,Current 7-Day Percent Positivity,13.5%
01/20/2021,MIS-C Cases,13
01/20/2021,MIS-C Deaths,0
01/21/2021,Total Cases,"459,604"
01/21/2021,New Cases,"4,013"
01/21/2021,Confirmed Cases,"372,216"
01/21/2021,Probable Cases,"87,388"
01/21/2021,Total Hospitalizations,"20,405"
01/21/2021,Confirmed Hospitalizations,"19,587"
01/21/2021,Probable Hospitalizations,818
01/21/2021,Total Deaths,"5,940"
01/21/2021,Confirmed Deaths,"5,211"
01/21/2021,Probable Deaths,729
01/21/2021,Number of Outbreaks,"2,134"
01/21/2021,Number of Outbreak Associated Cases,"53,329"
01/21/2021,Number of PCR Testing Encounters,"4,923,610"
01/21/2021,Current 7-Day Percent Positivity,13.1%
01/21/2021,MIS-C Cases,13
01/21/2021,MIS-C Deaths,0
01/22/2021,Total Cases,"463,751"
01/22/2021,New Cases,"4,147"
01/22/2021,Confirmed Cases,"374,908"
01/22/2021,Probable Cases,"88,843"
01/22/2021,Total Hospitalizations,"20,544"
01/22/2021,Confirmed Hospitalizations,"19,717"
